headword,CEFR,source
courtesy,C1,oxford_5000
cousin,A1,oxford_3000
cover,A2,oxford_3000
coverage,B2,oxford_5000
covered,B1,oxford_3000
cow,A1,oxford_3000
crack,B2,oxford_5000
craft,B2,oxford_5000
crash,B2,oxford_3000
crawl,C1,oxford_5000
crazy,A2,oxford_3000
cream,A1,oxford_3000
create,A1,oxford_3000
creation,B2,oxford_3000
creative,A2,oxford_3000
creativity,B2,oxford_5000
creator,C1,oxford_5000
creature,B2,oxford_3000
credibility,C1,oxford_5000
credible,C1,oxford_5000
credit,A2,oxford_3000
creep,C1,oxford_5000
crew,B2,oxford_3000
crime,A2,oxford_3000
criminal,A2,oxford_3000
crisis,B2,oxford_3000
criterion,B2,oxford_3000
critic,B2,oxford_3000
critical,B2,oxford_3000
critically,B2,oxford_5000
criticism,B2,oxford_3000
criticize,B2,oxford_3000
critique,C1,oxford_5000
crop,B2,oxford_3000
cross,A2,oxford_3000
crowd,A2,oxford_3000
crowded,A2,oxford_3000
crown,C1,oxford_5000
crucial,B2,oxford_3000
crude,C1,oxford_5000
cruel,B1,oxford_3000
cruise,B2,oxford_5000
crush,C1,oxford_5000
cry,A2,oxford_3000
crystal,C1,oxford_5000
cue,B2,oxford_5000
cult,C1,oxford_5000
cultivate,C1,oxford_5000
cultural,B1,oxford_3000
culture,A1,oxford_3000
cup,A1,oxford_3000
cupboard,A2,oxford_3000
cure,B2,oxford_3000
curiosity,C1,oxford_5000
curious,B2,oxford_5000
curly,A2,oxford_3000
currency,B1,oxford_3000
current,B1,oxford_3000
currently,B1,oxford_3000
curriculum,B2,oxford_5000
curtain,B1,oxford_3000
curve,B2,oxford_3000
curved,B2,oxford_3000
custody,C1,oxford_5000
custom,B1,oxford_3000
customer,A1,oxford_3000
cut,A1,oxford_3000
cute,B2,oxford_5000
cutting,C1,oxford_5000
cycle,A2,oxford_3000
cynical,C1,oxford_5000
dad,A1,oxford_3000
daily,A2,oxford_3000
dairy,B2,oxford_5000
dam,C1,oxford_5000
damage,B1,oxford_3000
damaging,C1,oxford_5000
dance,A1,oxford_3000
dancer,A1,oxford_3000
dancing,A1,oxford_3000
danger,A2,oxford_3000
dangerous,A1,oxford_3000
dare,B2,oxford_5000
dark,A1,oxford_3000
darkness,B2,oxford_5000
data,A2,oxford_3000
database,B2,oxford_5000
date,A1,oxford_3000
daughter,A1,oxford_3000
dawn,C1,oxford_5000
day,A1,oxford_3000
dead,A2,oxford_3000
deadline,B2,oxford_5000
deadly,B2,oxford_5000
deal,A2,oxford_3000
dealer,B2,oxford_5000
dear,A1,oxford_3000
death,A2,oxford_3000
debate,B2,oxford_3000
debris,C1,oxford_5000
debt,B2,oxford_3000
debut,C1,oxford_5000
decade,B1,oxford_3000
december,A1,oxford_3000
decent,B2,oxford_3000
decide,A1,oxford_3000
decision,A2,oxford_3000
decision-making,C1,oxford_5000
decisive,C1,oxford_5000
deck,B2,oxford_5000
declaration,C1,oxford_5000
declare,B2,oxford_3000
decline,B2,oxford_3000
decorate,B1,oxford_3000
decoration,B2,oxford_3000
decrease,B2,oxford_3000
dedicated,C1,oxford_5000
dedication,C1,oxford_5000
deed,C1,oxford_5000
deem,C1,oxford_5000
deep,A2,oxford_3000
deeply,B2,oxford_3000
default,C1,oxford_5000
defeat,B2,oxford_3000
defect,C1,oxford_5000
defence,B2,oxford_3000
defend,B2,oxford_3000
defender,B2,oxford_5000
defensive,C1,oxford_5000
deficiency,C1,oxford_5000
deficit,C1,oxford_5000
define,B1,oxford_3000
definite,B1,oxford_3000
definitely,A2,oxford_3000
definition,B1,oxford_3000
defy,C1,oxford_5000
degree,A2,oxford_3000
delay,B2,oxford_3000
delegate,C1,oxford_5000
delegation,C1,oxford_5000
delete,B2,oxford_5000
deliberate,B2,oxford_3000
deliberately,B2,oxford_3000
delicate,C1,oxford_5000
delicious,A1,oxford_3000
delight,B2,oxford_3000
delighted,B2,oxford_3000
deliver,B1,oxford_3000
delivery,B2,oxford_3000
demand,B2,oxford_3000
democracy,B2,oxford_5000
democratic,B2,oxford_5000
demon,C1,oxford_5000
demonstrate,B2,oxford_3000
demonstration,B2,oxford_5000
denial,C1,oxford_5000
denounce,C1,oxford_5000
dense,C1,oxford_5000
density,C1,oxford_5000
dentist,A2,oxford_3000
deny,B2,oxford_3000
depart,B2,oxford_5000
department,A2,oxford_3000
departure,B1,oxford_3000
depend,A2,oxford_3000
dependence,C1,oxford_5000
dependent,B2,oxford_5000
depict,C1,oxford_5000
deploy,C1,oxford_5000
deployment,C1,oxford_5000
deposit,B2,oxford_5000
depressed,B2,oxford_3000
depressing,B2,oxford_3000
depression,B2,oxford_5000
deprive,C1,oxford_5000
depth,B2,oxford_3000
deputy,C1,oxford_5000
derive,B2,oxford_5000
descend,C1,oxford_5000
descent,C1,oxford_5000
describe,A1,oxford_3000
description,A1,oxford_3000
desert,A2,oxford_3000
deserve,B2,oxford_3000
design,A1,oxford_3000
designate,C1,oxford_5000
designer,A2,oxford_3000
desirable,C1,oxford_5000
desire,B2,oxford_3000
desk,A1,oxford_3000
desktop,C1,oxford_5000
desperate,B2,oxford_3000
desperately,B2,oxford_5000
despite,B1,oxford_3000
destination,B1,oxford_3000
destroy,A2,oxford_3000
destruction,B2,oxford_5000
destructive,C1,oxford_5000
detail,A1,oxford_3000
detailed,B2,oxford_3000
detain,C1,oxford_5000
detect,B2,oxford_3000
detection,C1,oxford_5000
detective,A2,oxford_3000
detention,C1,oxford_5000
deteriorate,C1,oxford_5000
determination,B2,oxford_5000
determine,B1,oxford_3000
determined,B1,oxford_3000
devastate,C1,oxford_5000
develop,A2,oxford_3000
development,B1,oxford_3000
device,A2,oxford_3000
devil,C1,oxford_5000
devise,C1,oxford_5000
devote,B2,oxford_5000
diagnose,C1,oxford_5000
diagnosis,C1,oxford_5000
diagram,B1,oxford_3000
dialogue,A1,oxford_3000
diamond,B1,oxford_3000
diary,A2,oxford_3000
dictator,C1,oxford_5000
dictionary,A1,oxford_3000
die,A1,oxford_3000
diet,A1,oxford_3000
differ,B2,oxford_5000
difference,A1,oxford_3000
different,A1,oxford_3000
differentiate,C1,oxford_5000
differently,A2,oxford_3000
difficult,A1,oxford_3000
difficulty,B1,oxford_3000
dig,B2,oxford_3000
digital,A2,oxford_3000
dignity,C1,oxford_5000
dilemma,C1,oxford_5000
dimension,C1,oxford_5000
diminish,C1,oxford_5000
dinner,A1,oxford_3000
dip,C1,oxford_5000
diplomat,C1,oxford_5000
diplomatic,C1,oxford_5000
direct,A2,oxford_3000
direction,A2,oxford_3000
directly,B1,oxford_3000
director,A2,oxford_3000
directory,C1,oxford_5000
dirt,B1,oxford_3000
dirty,A1,oxford_3000
disability,B2,oxford_5000
disabled,B2,oxford_5000
disadvantage,B1,oxford_3000
disagree,A2,oxford_3000
disagreement,B2,oxford_5000
disappear,A2,oxford_3000
disappoint,B2,oxford_5000
disappointed,B1,oxford_3000
disappointing,B1,oxford_3000
disappointment,B2,oxford_5000
disaster,A2,oxford_3000
disastrous,C1,oxford_5000
disc,B2,oxford_3000
discard,C1,oxford_5000
discharge,C1,oxford_5000
discipline,B2,oxford_3000
disclose,C1,oxford_5000
disclosure,C1,oxford_5000
discount,B1,oxford_3000
discourage,B2,oxford_5000
discourse,C1,oxford_5000
discover,A2,oxford_3000
discovery,A2,oxford_3000
discretion,C1,oxford_5000
discrimination,C1,oxford_5000
discuss,A1,oxford_3000
discussion,A2,oxford_3000
disease,A2,oxford_3000
dish,A1,oxford_3000
dishonest,B2,oxford_3000
dislike,B1,oxford_3000
dismiss,B2,oxford_3000
dismissal,C1,oxford_5000
disorder,B2,oxford_5000
displace,C1,oxford_5000
display,B2,oxford_3000
disposal,C1,oxford_5000
dispose,C1,oxford_5000
dispute,C1,oxford_5000
disrupt,C1,oxford_5000
disruption,C1,oxford_5000
dissolve,C1,oxford_5000
distance,A2,oxford_3000
distant,B2,oxford_5000
distinct,B2,oxford_5000
distinction,C1,oxford_5000
distinctive,C1,oxford_5000
distinguish,B2,oxford_5000
distort,C1,oxford_5000
distract,B2,oxford_5000
distress,C1,oxford_5000
distribute,B2,oxford_3000
distribution,B2,oxford_3000
district,B2,oxford_3000
disturb,B2,oxford_5000
disturbing,C1,oxford_5000
dive,B2,oxford_5000
diverse,B2,oxford_5000
diversity,B2,oxford_5000
divert,C1,oxford_5000
divide,B1,oxford_3000
divine,C1,oxford_5000
division,B2,oxford_3000
divorce,B2,oxford_5000
divorced,A2,oxford_3000
do,A1,oxford_3000
doctor,A1,oxford_3000
doctrine,C1,oxford_5000
document,A2,oxford_3000
documentary,B1,oxford_3000
documentation,C1,oxford_5000
dog,A1,oxford_3000
dollar,A1,oxford_3000
domain,C1,oxford_5000
domestic,B2,oxford_3000
dominance,C1,oxford_5000
dominant,B2,oxford_5000
dominate,B2,oxford_3000
donate,B1,oxford_3000
donation,B2,oxford_5000
donor,C1,oxford_5000
door,A1,oxford_3000
dose,C1,oxford_5000
dot,B2,oxford_5000
double,B1,oxford_3000
doubt,B1,oxford_3000
down,A1,oxford_3000
download,A2,oxford_3000
downstairs,A1,oxford_3000
downtown,B2,oxford_5000
downwards,B2,oxford_3000
dozen,B2,oxford_3000
draft,B2,oxford_3000
drag,B2,oxford_3000
drain,C1,oxford_5000
drama,A2,oxford_3000
dramatic,B2,oxford_3000
dramatically,B2,oxford_5000
draw,A1,oxford_3000
drawing,A2,oxford_3000
dream,A2,oxford_3000
dress,A1,oxford_3000
dressed,B1,oxford_3000
drift,C1,oxford_5000
drink,A1,oxford_3000
drive,A1,oxford_3000
driver,A1,oxford_3000
driving,A2,oxford_3000
drop,A2,oxford_3000
drought,B2,oxford_5000
drown,C1,oxford_5000
drug,A2,oxford_3000
drum,B1,oxford_3000
drunk,B1,oxford_3000
dry,A2,oxford_3000
dual,C1,oxford_5000
dub,C1,oxford_5000
due,B1,oxford_3000
dull,B2,oxford_5000
dumb,C1,oxford_5000
dump,B2,oxford_5000
duo,C1,oxford_5000
duration,B2,oxford_5000
during,A1,oxford_3000
dust,B1,oxford_3000
duty,B1,oxford_3000
dvd,A1,oxford_3000
dynamic,B2,oxford_5000
each,A1,oxford_3000
eager,C1,oxford_5000
ear,A1,oxford_3000
early,A1,oxford_3000
earn,A2,oxford_3000
earnings,C1,oxford_5000
earth,A2,oxford_3000
earthquake,B1,oxford_3000
ease,C1,oxford_5000
easily,A2,oxford_3000
east,A1,oxford_3000
eastern,B1,oxford_3000
easy,A1,oxford_3000
eat,A1,oxford_3000
echo,C1,oxford_5000
ecological,C1,oxford_5000
economic,B1,oxford_3000
economics,B2,oxford_5000
economist,B2,oxford_5000
economy,B1,oxford_3000
edge,B1,oxford_3000
edit,B2,oxford_3000
edition,B2,oxford_3000
editor,B1,oxford_3000
editorial,B2,oxford_5000
educate,B1,oxford_3000
educated,B1,oxford_3000
education,A2,oxford_3000
educational,B1,oxford_3000
educator,C1,oxford_5000
effect,A2,oxford_3000
effective,B1,oxford_3000
effectively,B1,oxford_3000
effectiveness,C1,oxford_5000
efficiency,C1,oxford_5000
efficient,B2,oxford_3000
efficiently,B2,oxford_5000
effort,B1,oxford_3000
egg,A1,oxford_3000
ego,C1,oxford_5000
eight,A1,oxford_3000
eighteen,A1,oxford_3000
eighty,A1,oxford_3000
either,A2,oxford_3000
elaborate,C1,oxford_5000
elbow,B2,oxford_5000
elderly,B2,oxford_3000
elect,B2,oxford_3000
election,B1,oxford_3000
electoral,C1,oxford_5000
electric,A2,oxford_3000
electrical,A2,oxford_3000
electricity,A2,oxford_3000
electronic,A2,oxford_3000
electronics,B2,oxford_5000
elegant,B2,oxford_5000
element,B1,oxford_3000
elementary,B2,oxford_5000
elephant,A1,oxford_3000
elevate,C1,oxford_5000
eleven,A1,oxford_3000
eligible,C1,oxford_5000
eliminate,B2,oxford_5000
elite,C1,oxford_5000
else,A1,oxford_3000
elsewhere,B2,oxford_3000
email,A1,oxford_3000
embark,C1,oxford_5000
embarrassed,B1,oxford_3000
embarrassing,B1,oxford_3000
embarrassment,C1,oxford_5000
embassy,C1,oxford_5000
embed,C1,oxford_5000
embody,C1,oxford_5000
embrace,B2,oxford_5000
emerge,B2,oxford_3000
emergence,C1,oxford_5000
emergency,B1,oxford_3000
emission,B2,oxford_5000
emotion,B1,oxford_3000
emotional,B2,oxford_3000
emotionally,B2,oxford_5000
emphasis,B2,oxford_3000
emphasize,B2,oxford_3000
empire,B2,oxford_5000
empirical,C1,oxford_5000
employ,A2,oxford_3000
employee,A2,oxford_3000
employer,A2,oxford_3000
employment,B1,oxford_3000
empower,C1,oxford_5000
empty,A2,oxford_3000
enable,B2,oxford_3000
enact,C1,oxford_5000
encompass,C1,oxford_5000
encounter,B2,oxford_3000
encourage,B1,oxford_3000
encouragement,C1,oxford_5000
encouraging,C1,oxford_5000
end,A1,oxford_3000
endeavour,C1,oxford_5000
ending,A2,oxford_3000
endless,C1,oxford_5000
endorse,C1,oxford_5000
endorsement,C1,oxford_5000
endure,C1,oxford_5000
enemy,B1,oxford_3000
energy,A2,oxford_3000
enforce,C1,oxford_5000
enforcement,C1,oxford_5000
engage,B2,oxford_3000
engaged,B1,oxford_3000
engagement,C1,oxford_5000
engaging,C1,oxford_5000
engine,A2,oxford_3000
engineer,A2,oxford_3000
engineering,B1,oxford_3000
enhance,B2,oxford_3000
enjoy,A1,oxford_3000
enjoyable,B2,oxford_5000
enormous,A2,oxford_3000
enough,A1,oxford_3000
enquire,C1,oxford_5000
enquiry,B2,oxford_3000
enrich,C1,oxford_5000
enrol,C1,oxford_5000
ensue,C1,oxford_5000
ensure,B2,oxford_3000
enter,A2,oxford_3000
enterprise,C1,oxford_5000
entertain,B1,oxford_3000
entertaining,B2,oxford_5000
entertainment,B1,oxford_3000
enthusiasm,B2,oxford_3000
enthusiast,C1,oxford_5000
enthusiastic,B2,oxford_3000
entire,B2,oxford_3000
entirely,B2,oxford_3000
entitle,C1,oxford_5000
entity,C1,oxford_5000
entrance,B1,oxford_3000
entrepreneur,B2,oxford_5000
entry,B1,oxford_3000
envelope,B2,oxford_5000
environment,A2,oxford_3000
environmental,B1,oxford_3000
epidemic,C1,oxford_5000
episode,B1,oxford_3000
equal,B1,oxford_3000
equality,C1,oxford_5000
equally,B1,oxford_3000
equation,C1,oxford_5000
equip,B2,oxford_5000
equipment,A2,oxford_3000
equivalent,B2,oxford_5000
era,B2,oxford_5000
erect,C1,oxford_5000
error,A2,oxford_3000
erupt,B2,oxford_5000
escalate,C1,oxford_5000
escape,B1,oxford_3000
especially,A2,oxford_3000
essay,A2,oxford_3000
essence,C1,oxford_5000
essential,B1,oxford_3000
essentially,B2,oxford_5000
establish,B2,oxford_3000
establishment,C1,oxford_5000
estate,B2,oxford_3000
estimate,B2,oxford_3000
eternal,C1,oxford_5000
ethic,B2,oxford_5000
ethical,B2,oxford_3000
ethnic,B2,oxford_5000
euro,A1,oxford_3000
evacuate,C1,oxford_5000
evaluate,B2,oxford_3000
evaluation,B2,oxford_5000
even,A1,oxford_3000
evening,A1,oxford_3000
event,A1,oxford_3000
eventually,B1,oxford_3000
ever,A1,oxford_3000
every,A1,oxford_3000
everybody,A1,oxford_3000
everyday,A2,oxford_3000
everyone,A1,oxford_3000
everything,A1,oxford_3000
everywhere,A2,oxford_3000
evidence,A2,oxford_3000
evident,B2,oxford_5000
evil,B2,oxford_3000
evoke,C1,oxford_5000
evolution,B2,oxford_5000
evolutionary,C1,oxford_5000
evolve,B2,oxford_5000
exact,A2,oxford_3000
exactly,A2,oxford_3000
exaggerate,C1,oxford_5000
exam,A1,oxford_3000
examination,B2,oxford_3000
examine,B1,oxford_3000
example,A1,oxford_3000
exceed,B2,oxford_5000
excellence,C1,oxford_5000
excellent,A2,oxford_3000
except,A2,oxford_3000
exception,B2,oxford_5000
exceptional,C1,oxford_5000
excess,C1,oxford_5000
excessive,B2,oxford_5000
exchange,B1,oxford_3000
excited,A1,oxford_3000
excitement,B1,oxford_3000
exciting,A1,oxford_3000
exclude,B2,oxford_5000
exclusion,C1,oxford_5000
exclusive,C1,oxford_5000
exclusively,C1,oxford_5000
excuse,B2,oxford_3000
execute,C1,oxford_5000
execution,C1,oxford_5000
executive,B2,oxford_3000
exercise,A1,oxford_3000
exert,C1,oxford_5000
exhibit,B2,oxford_5000
exhibition,B1,oxford_3000
exile,C1,oxford_5000
exist,A2,oxford_3000
existence,B2,oxford_3000
exit,B2,oxford_5000
exotic,B2,oxford_5000
expand,B1,oxford_3000
expansion,B2,oxford_5000
expect,A2,oxford_3000
expectation,B2,oxford_3000
expected,B1,oxford_3000
expedition,B1,oxford_3000
expenditure,C1,oxford_5000
expense,B2,oxford_3000
expensive,A1,oxford_3000
experience,A2,oxford_3000
experienced,B1,oxford_3000
experiment,A2,oxford_3000
experimental,C1,oxford_5000
expert,A2,oxford_3000
expertise,B2,oxford_5000
expire,C1,oxford_5000
explain,A1,oxford_3000
explanation,A2,oxford_3000
explicit,C1,oxford_5000
explicitly,C1,oxford_5000
explode,B1,oxford_3000
exploit,B2,oxford_5000
exploitation,C1,oxford_5000
exploration,B2,oxford_3000
explore,B1,oxford_3000
explosion,B1,oxford_3000
explosive,C1,oxford_5000
export,B1,oxford_3000
expose,B2,oxford_3000
exposure,B2,oxford_5000
express,A2,oxford_3000
expression,A2,oxford_3000
extend,B2,oxford_3000
extension,B2,oxford_5000
extensive,B2,oxford_5000
extensively,B2,oxford_5000
extent,B2,oxford_3000
external,B2,oxford_3000
extra,A1,oxford_3000
extract,B2,oxford_5000
extraordinary,B2,oxford_3000
extreme,A2,oxford_3000
extremely,A2,oxford_3000
extremist,C1,oxford_5000
eye,A1,oxford_3000
fabric,B2,oxford_5000
fabulous,B2,oxford_5000
face,A1,oxford_3000
facilitate,C1,oxford_5000
facility,B2,oxford_3000
fact,A1,oxford_3000
faction,C1,oxford_5000
factor,A2,oxford_3000
factory,A2,oxford_3000
faculty,C1,oxford_5000
fade,C1,oxford_5000
fail,A2,oxford_3000
failed,B2,oxford_5000
failure,B2,oxford_3000
fair,A2,oxford_3000
fairly,B1,oxford_3000
fairness,C1,oxford_5000
faith,B2,oxford_3000
fake,B2,oxford_5000
fall,A1,oxford_3000
false,A1,oxford_3000
fame,B2,oxford_5000
familiar,B1,oxford_3000
family,A1,oxford_3000
famous,A1,oxford_3000
fan,A2,oxford_3000
fancy,B1,oxford_3000
fantastic,A1,oxford_3000
fantasy,B2,oxford_5000
far,A1,oxford_3000
fare,B2,oxford_5000
farm,A1,oxford_3000
farmer,A1,oxford_3000
farming,A2,oxford_3000
fascinating,B1,oxford_3000
fashion,A2,oxford_3000
fashionable,B1,oxford_3000
fast,A1,oxford_3000
fasten,B1,oxford_3000
fat,A1,oxford_3000
fatal,C1,oxford_5000
fate,C1,oxford_5000
father,A1,oxford_3000
fault,B2,oxford_3000
favour,B1,oxford_3000
favourable,C1,oxford_5000
favourite,A1,oxford_3000
fear,A2,oxford_3000
feat,C1,oxford_5000
feather,B2,oxford_3000
feature,A2,oxford_3000
february,A1,oxford_3000
federal,B2,oxford_5000
fee,B2,oxford_3000
feed,A2,oxford_3000
feedback,B2,oxford_3000
feel,A1,oxford_3000
feeling,A1,oxford_3000
fellow,B2,oxford_3000
female,A2,oxford_3000
feminist,C1,oxford_5000
fence,B1,oxford_3000
festival,A1,oxford_3000
fever,B2,oxford_5000
few,A1,oxford_3000
fibre,C1,oxford_5000
fiction,A2,oxford_3000
field,A2,oxford_3000
fierce,C1,oxford_5000
fifteen,A1,oxford_3000
fifth,A1,oxford_3000
fifty,A1,oxford_3000
fight,A2,oxford_3000
fighting,B1,oxford_3000
figure,B2,oxford_3000
file,B1,oxford_3000
fill,A1,oxford_3000
film,A1,oxford_3000
film-maker,C1,oxford_5000
filter,C1,oxford_5000
final,A1,oxford_3000
finally,A2,oxford_3000
finance,B2,oxford_3000
financial,B1,oxford_3000
find,A1,oxford_3000
finding,B2,oxford_3000
fine,A1,oxford_3000
finger,A2,oxford_3000
finish,A1,oxford_3000
fire,A1,oxford_3000
firearm,C1,oxford_5000
firefighter,B2,oxford_5000
firework,B2,oxford_5000
firm,B2,oxford_3000
firmly,B2,oxford_5000
first,A1,oxford_3000
firstly,A2,oxford_3000
fish,A1,oxford_3000
fishing,A2,oxford_3000
fit,A2,oxford_3000
fitness,B1,oxford_3000
five,A1,oxford_3000
fix,A2,oxford_3000
fixed,B1,oxford_3000
fixture,C1,oxford_5000
flag,B1,oxford_3000
flame,B2,oxford_3000
flash,B2,oxford_3000
flat,A1,oxford_3000
flavour,B2,oxford_5000
flaw,C1,oxford_5000
flawed,C1,oxford_5000
flee,C1,oxford_5000
fleet,C1,oxford_5000
flesh,C1,oxford_5000
flexibility,C1,oxford_5000
flexible,B2,oxford_3000
flight,A1,oxford_3000
float,B2,oxford_3000
flood,B1,oxford_3000
floor,A1,oxford_3000
flour,B1,oxford_3000
flourish,C1,oxford_5000
flow,B1,oxford_3000
flower,A1,oxford_3000
flu,A2,oxford_3000
fluid,C1,oxford_5000
fly,A1,oxford_3000
flying,A2,oxford_3000
focus,A2,oxford_3000
fold,B1,oxford_3000
folding,B2,oxford_3000
folk,B1,oxford_3000
follow,A1,oxford_3000
following,A2,oxford_3000
fond,B2,oxford_5000
food,A1,oxford_3000
fool,B2,oxford_5000
foot,A1,oxford_3000
footage,C1,oxford_5000
football,A1,oxford_3000
for,A1,oxford_3000
forbid,B2,oxford_5000
force,B1,oxford_3000
forecast,B2,oxford_5000
foreign,A2,oxford_3000
foreigner,C1,oxford_5000
forest,A2,oxford_3000
forever,B1,oxford_3000
forge,C1,oxford_5000
forget,A1,oxford_3000
forgive,B2,oxford_3000
fork,A2,oxford_3000
form,A1,oxford_3000
formal,A2,oxford_3000
format,B2,oxford_5000
formation,B2,oxford_5000
former,B2,oxford_3000
formerly,B2,oxford_5000
formula,C1,oxford_5000
formulate,C1,oxford_5000
forth,C1,oxford_5000
forthcoming,C1,oxford_5000
fortunate,B2,oxford_5000
fortunately,A2,oxford_3000
fortune,B2,oxford_3000
forty,A1,oxford_3000
forum,B2,oxford_5000
forward,A2,oxford_3000
fossil,B2,oxford_5000
foster,C1,oxford_5000
found,B2,oxford_3000
foundation,B2,oxford_5000
founder,B2,oxford_5000
four,A1,oxford_3000
fourteen,A1,oxford_3000
fourth,A1,oxford_3000
fraction,B2,oxford_5000
fragile,C1,oxford_5000
fragment,B2,oxford_5000
frame,B1,oxford_3000
framework,B2,oxford_5000
franchise,C1,oxford_5000
frankly,C1,oxford_5000
fraud,B2,oxford_5000
free,A1,oxford_3000
freedom,B2,oxford_3000
freely,B2,oxford_5000
freeze,B1,oxford_3000
frequency,B2,oxford_3000
frequent,B2,oxford_5000
frequently,B1,oxford_3000
fresh,A2,oxford_3000
friday,A1,oxford_3000
fridge,A2,oxford_3000
friend,A1,oxford_3000
friendly,A1,oxford_3000
friendship,B1,oxford_3000
frighten,B1,oxford_3000
frightened,B1,oxford_3000
frightening,B1,oxford_3000
frog,A2,oxford_3000
from,A1,oxford_3000
front,A1,oxford_3000
frozen,B1,oxford_3000
fruit,A1,oxford_3000
frustrated,C1,oxford_5000
frustrating,C1,oxford_5000
frustration,C1,oxford_5000
fry,B1,oxford_3000
fuel,B1,oxford_3000
fulfil,B2,oxford_5000
full,A1,oxford_3000
full-time,B2,oxford_5000
fully,B2,oxford_3000
fun,A1,oxford_3000
function,B1,oxford_3000
functional,C1,oxford_5000
fund,B2,oxford_3000
fundamental,B2,oxford_3000
fundamentally,B2,oxford_5000
funding,B2,oxford_3000
fundraising,C1,oxford_5000
funeral,C1,oxford_5000
funny,A1,oxford_3000
fur,B1,oxford_3000
furious,B2,oxford_5000
furniture,A2,oxford_3000
further,A2,oxford_3000
furthermore,B2,oxford_3000
future,A1,oxford_3000
gain,B2,oxford_3000
gallery,A2,oxford_3000
gallon,C1,oxford_5000
gambling,C1,oxford_5000
game,A1,oxford_3000
gaming,B2,oxford_5000
gang,B2,oxford_3000
gap,A2,oxford_3000
garage,B1,oxford_3000
garden,A1,oxford_3000
gas,A2,oxford_3000
gate,A2,oxford_3000
gather,B1,oxford_3000
gathering,C1,oxford_5000
gay,B2,oxford_5000
gaze,C1,oxford_5000
gear,C1,oxford_5000
gender,B2,oxford_5000
gene,B2,oxford_5000
general,A2,oxford_3000
generally,B1,oxford_3000
generate,B2,oxford_3000
generation,B1,oxford_3000
generic,C1,oxford_5000
generous,B1,oxford_3000
genetic,B2,oxford_5000
genius,B2,oxford_5000
genocide,C1,oxford_5000
genre,B2,oxford_3000
gentle,B1,oxford_3000
gentleman,B1,oxford_3000
genuine,B2,oxford_5000
genuinely,B2,oxford_5000
geography,A1,oxford_3000
gesture,B2,oxford_5000
get,A1,oxford_3000
ghost,B1,oxford_3000
giant,B1,oxford_3000
gift,A2,oxford_3000
gig,B2,oxford_5000
girl,A1,oxford_3000
girlfriend,A1,oxford_3000
give,A1,oxford_3000
glad,B1,oxford_3000
glance,C1,oxford_5000
glass,A1,oxford_3000
glimpse,C1,oxford_5000
global,B1,oxford_3000
globalization,B2,oxford_5000
globe,B2,oxford_5000
glorious,C1,oxford_5000
glory,C1,oxford_5000
glove,B1,oxford_3000
go,A1,oxford_3000
goal,A2,oxford_3000
god,A2,oxford_3000
gold,A2,oxford_3000
golden,B2,oxford_5000
golf,A2,oxford_3000
good,A1,oxford_3000
goodbye,A1,oxford_3000
goodness,B2,oxford_5000
goods,B1,oxford_3000
gorgeous,B2,oxford_5000
govern,B2,oxford_3000
governance,C1,oxford_5000
government,A2,oxford_3000
governor,B2,oxford_5000
grab,B2,oxford_3000
grace,C1,oxford_5000
grade,B1,oxford_3000
gradually,B2,oxford_3000
graduate,B1,oxford_3000
grain,B1,oxford_3000
grand,B2,oxford_3000
grandfather,A1,oxford_3000
grandmother,A1,oxford_3000
grandparent,A1,oxford_3000
grant,B2,oxford_3000
graphic,B2,oxford_5000
graphics,B2,oxford_5000
grasp,C1,oxford_5000
grass,A2,oxford_3000
grateful,B1,oxford_3000
grave,C1,oxford_5000
gravity,C1,oxford_5000
great,A1,oxford_3000
greatly,B2,oxford_5000
green,A1,oxford_3000
greenhouse,B2,oxford_5000
greet,A2,oxford_3000
grey,A1,oxford_3000
grid,C1,oxford_5000
grief,C1,oxford_5000
grin,C1,oxford_5000
grind,C1,oxford_5000
grip,C1,oxford_5000
grocery,B2,oxford_5000
gross,C1,oxford_5000
ground,A2,oxford_3000
group,A1,oxford_3000
grow,A1,oxford_3000
growth,B1,oxford_3000
guarantee,B2,oxford_3000
guard,B1,oxford_3000
guerrilla,C1,oxford_5000
guess,A1,oxford_3000
guest,A2,oxford_3000
guidance,C1,oxford_5000
guide,A2,oxford_3000
guideline,B2,oxford_5000
guilt,C1,oxford_5000
guilty,B1,oxford_3000
guitar,A1,oxford_3000
gun,A2,oxford_3000
gut,C1,oxford_5000
guy,A2,oxford_3000
gym,A1,oxford_3000
habit,A2,oxford_3000
habitat,B2,oxford_5000
hail,C1,oxford_5000
hair,A1,oxford_3000
half,A1,oxford_3000
halfway,C1,oxford_5000
hall,A2,oxford_3000
halt,C1,oxford_5000
hand,A1,oxford_3000
handful,C1,oxford_5000
handle,B2,oxford_3000
handling,C1,oxford_5000
handy,C1,oxford_5000
hang,B1,oxford_3000
happen,A1,oxford_3000
happily,A2,oxford_3000
happiness,B1,oxford_3000
happy,A1,oxford_3000
harassment,C1,oxford_5000
harbour,B2,oxford_5000
hard,A1,oxford_3000
hardly,B1,oxford_3000
hardware,C1,oxford_5000
harm,B2,oxford_3000
harmful,B2,oxford_3000
harmony,C1,oxford_5000
harsh,C1,oxford_5000
harvest,C1,oxford_5000
hat,A1,oxford_3000
hate,A1,oxford_3000
hatred,C1,oxford_5000
